CHUNK,TIPO,PREGUNTA,RESPUESTA
s25 - conmutador doble aluminio/graf de la marca simon del area de electricidad para los interruptores y tomacorrientes de la linea placas armadas de procedencia nacional al precio de 28.4 soles,PRODUCTO,,
"altura del producto 2.50 cm, ancho del producto 250.00 cm, profundidad del producto 0.65 cm, volumen del producto 406.25, ean 7752421004602, medidas 250.00x0.65x2.50, tipo de producto perfil, modelo mate, color plata, material acero inoxidable, garantía 1 año, procedencia nacional, país de origen china",FICHA,,
"barra garra templada 10"" de la marca stanley del area de herramientas para los accesorios para herramientas electricas de la linea accesorios de herramientas de procedencia importado al precio de 85.9 soles",PRODUCTO,,
Complemento ideal para dar acabado decorativo en muebles de melamina.,OBSERVACIONES,,
tornillo 3.5x40mm tarugo nylon 5x30 multimat x50uu de la marca standers del area de ferreteria para los productos de fijacion de la linea kit de fijacion de procedencia importado al precio de 7.1 soles,PRODUCTO,,
calzado de seguridad lemans color oro t/36 de la marca clute del area de herramientas para los seguridad industrial de la linea calzado de seguridad de procedencia nacional al precio de 399.9 soles,PRODUCTO,,
escalera doméstica 3 pasos 120 kg de la marca botafogo del area de pinturas para los escaleras de la linea escaleras de aluminio y fibra de procedencia importado al precio de 54.9 soles,PRODUCTO,,
Adapta la velocidad al trabajo a desempeñar llegando a alcanzar las 3.200 revoluciones por minuto.,DESCRIPCION,,
"Flexo modelo Wilton con tecnología led integrada de 3,8 W fabricado en plástico de color negro, ideal para iluminar zonas de lectura o tu mesa de estudio o trabajo en tu despacho u oficina. Emite una luz blanca fría de 6.500 K con una intensidad regulable hasta 470 lúmenes. Dispone de interruptor integrado en la base y puerto USB. Índice de protección: IP20 (uso en interior). Medidas: 11,5 x 69 cm (ancho x alto).",DESCRIPCION,,
Excelente calidad. Resistencia y durabilidad.,CARACTERISTICAS,,
plancha estriado a36 1.8mm 1200x2400mm aa de la marca aceros arequipa del area de materiales de construccion para los fierros de la linea perfiles de fierro de procedencia nacional al precio de 221.1 soles,PRODUCTO,,
"altura del producto 7.00 cm, ancho del producto 10.50 cm, profundidad del producto 3.50 cm, volumen del producto 257.25, ean 7750293012251, medidas 10.50x3.50x7.00, tipo de producto toma, modelo univ doble-se-arm, color blanco, material metal/plástico, garantía 1 año, procedencia nacional, país de origen italia",FICHA,,
"Pilares hechos a base de un sólido acero y doble ranurado, lo que garantiza su capacidad de resistencia y soporte; además, poseedor de un atractivo y moderno diseño, para acompañar y añadir estética a los muebles. Definitivamente, un práctico y útil accesorio para ensamblajes en el hogar.",DESCRIPCION,,
Excelente calidad. Resistencia y durabilidad.,CARACTERISTICAS,,
Los revestimientos transmiten una sensación de limpieza y pulcritud gracias a su superficie brillante. Resistentes y fáciles de limpiar.,DESCRIPCION,,
"Pre-perforación, pared hueca",CARACTERISTICAS,,
"Use al menos a 1 metro de distancia de cualquier pared o superficie. Deje un espacio de 3 metros entre el fogatero y los objetos que puedan incendiarse, persianas, cortinas y aparatos eléctricos.",RECOMENDACIONES,,
"acabado mate, altura del producto 19.50 cm, ancho del producto 22.00 cm, profundidad del producto 22.00 cm, volumen del producto 9438, ean 7752835088878, medidas 22.00x22.00x19.50, tipo de producto pintura, modelo duralátex, color blanco, material resina vinil acrílica, garantía 1 año, procedencia nacional, país de origen perú",FICHA,,
Características Parte Delantera- Elástico compresor y de sujeción- Correas de cierre y compresión- Colgador de accesorios ajustable- Correa de sujeción y porta esquís- Bolsillo lateral- Protector de lluvia (cubre mochila)- Características Parte PosteriorCompartimiento superior- Sistema de ventilación- Cinturón acolchado- Tensor de carga- Colgador de mosquetón- Ajuste pectoral- Silbato de emergencia,DESCRIPCION,,
"Fuerte, flexible, sin olor, que posee extraordinaria resistencia a los rayos UV, seca incluso bajo el agua y puede ser pintado después de seco. No contiene isocianatos, es decir, no es nocivo para la salud o el medio ambiente. Debido a su elasticidad y su alto poder de adhesión en diversos tipos de superficie, el producto se afirma y sella de manera diferenciada diferenciada con alto desempeño.",CARACTERISTICAS,,
No incluye adaptador de cambio rapido.,OBSERVACIONES,,
bote raft hydro force ranger elite x3 de la marca bestway del area de jardin para los productos para piscinas de la linea flotadores y accesorios de procedencia nacional al precio de 1299.9 soles,PRODUCTO,,
"acabado pintura uv, altura del producto 190.00 cm, ancho del producto 180.00 cm, profundidad del producto 53.00 cm, volumen del producto 1812600, ean 2000001354889, medidas 180.00x53.00x190.00, tipo de producto ropero, modelo roma, color marrón, material mdp, garantía 1 año, procedencia importado, país de origen brasil",FICHA,,
a25 set de terraza cayena 1 sofa esq   1 mesa de la marca orange del area de aire libre y temporada para los terrazas de la linea muebles de terraza de procedencia importado al precio de 1498.0 soles,PRODUCTO,,
i&o-pistola de agua 20 cm de la marca koopman del area de tendencias para los i&o de la linea decoracion i&o de procedencia importado al precio de 6.9 soles,PRODUCTO,,
Diseño exclusivo. Tela sin acolchar. Maderas selectas.,CARACTERISTICAS,,
velador kaia 1 cajon 1 puerta caramelo de la marca tuhome del area de muebles para los dormitorios de la linea veladores rta de procedencia nacional al precio de 489.0 soles,PRODUCTO,,
"Bajo consumo de energía. Baja emisión de calor. Protección del medio ambiente. Aplicaciones en oficinas, pasillos, hospitales y establecimientos comerciales.",DESCRIPCION,,
"volumen del producto 0, ean 2000001106822, color no aplica, garantía 1 año, procedencia nacional",FICHA,,
No aplica,OBSERVACIONES,,
"El consumo de combustible del motor es en tiempo aproximado. Tener en cuenta que los productos con motores de combustión pierden 10% de potencia aproximadamente cuando trabajan en altura. Cada vez que se consuma la gasolina del tanque lleno, debe descansar mínimo 30 minutos para volver a trabajar. No incluye manguera.",OBSERVACIONES,,
"Ultra delgado, 1.3 cm de espesor. 2 en 1 debido a que se puede adosar y empotrar.",CARACTERISTICAS,,
Limpiar de manera periódica con un paño seco.,RECOMENDACIONES,,
Riego Frecuente,RECOMENDACIONES,,
interruptor termomagnético 3x32a 220v-10ka btdin de la marca bticino del area de electricidad para los tableros y llaves electricas de la linea interruptores termomagneticos de procedencia nacional al precio de 145.6 soles,PRODUCTO,,
"volumen del producto 0, ean 7751371000900, tipo de producto estructura, color no aplica, garantía 1 año, procedencia nacional",FICHA,,
Excelente calidad. Resistencia y durabilidad.,CARACTERISTICAS,,
"Buscas el descanso soñado y renovar tu habitación, aprovecha la Cama Americana 2 plazas que tenemos para ti.",DESCRIPCION,,
Utilizar elementos de seguridad como guantes y lentes al momento de utilizar el producto.,RECOMENDACIONES,,
Material de tela:190T Poliéster PU 600mm protección UV y malla,OBSERVACIONES,,
"volumen del producto 0, ean 2000000374901, color no aplica, garantía 1 año, procedencia nacional",FICHA,,
"acabado melamine, altura del producto 180.60 cm, ancho del producto 46.90 cm, profundidad del producto 46.90 cm, volumen del producto 397249.566, ean 7707062348578, medidas 46.90x46.90x180.60, tipo de producto bar, modelo beijing, material melamina, garantía 3 meses, procedencia nacional",FICHA,,
"Está realizada con tres portalámparas visibles de metal negro rodeados por un marco metálico rectangular del mismo color. Gracias a la clara visibilidad de las bombillas, ofrece una iluminación especial en el salón o el comedor, por ejemplo, sobre una mesa de comedor alargada, y se integra a la perfección en los estilos de vida modernos.",CARACTERISTICAS,,
Abre fácilmente tus baldes de pintura y ahorra tiempo con este práctico abridor.,DESCRIPCION,,
Limpia y trapea todos los rincones de tu casa con este práctico y útil trapeador con gran capacidad de absorción.,DESCRIPCION,,
"Se puede instalar en superficies de material noble o madera, revisar que la pared dónde se va a instalar esté 100% nivelada. En caso quiera colgar la pizarra, recomendamos complementar la compra de la misma con tiras, drizas o sogas de nylon o materiales similares.",OBSERVACIONES,,
Mantener fuera del alcance de los niños,RECOMENDACIONES,,
"Los perfiles pueden aplicarse para construir muros portantes, divisiones, vigas, muros no portantes, tijerales, cielo raso, así como detalles decorativos que pueden ser cubiertas con placas de yeso.",DESCRIPCION,,
"altura del producto 108.00 cm, ancho del producto 26.00 cm, profundidad del producto 4.00 cm, volumen del producto 11232, ean 2000001126479, medidas 26.00x4.00x108.00, tipo de producto lampa, modelo con mango mad, color no aplica, material madera/metal, garantía 1 año, procedencia importado, país de origen china",FICHA,,
"altura del producto 7.00 cm, ancho del producto 23.50 cm, profundidad del producto 23.50 cm, volumen del producto 3865.75, diametro del producto 23.50 cm, ean 2000001539699, medidas 23.50x23.50x7.00, tipo de producto cable, modelo gpt-3, color verde, material cobre, garantía 2 años, procedencia nacional, país de origen perú",FICHA,,
"Ideal para ser instalados en lugares concurridos, en conexiones industriales, acometidas, distribución interna y conexiones en el exterior.",RECOMENDACIONES,,
"acabado cromado, profundidad del producto 19.22 cm, volumen del producto 0, ean 7899182782964, tipo de producto dado, modelo 3/4' encst 1/2'  4-88-768, color plata, material acero cromado, garantía de por vida por defectos de fabricación, procedencia importado, país de origen china",FICHA,,
"volumen del producto 0, ean 7751108003372, color no aplica, garantía 1 año, procedencia nacional",FICHA,,
i&o-botella 1 l star wars de la marca disney del area de cocina para los menaje de la linea menaje infantil de procedencia nacional al precio de 19.9 soles,PRODUCTO,,
"Capacidad 3.7 l. Carcasa de polipropileno y asa de tacto frío. 7 funciones de cocción. Temperatura ajustable 80-200° C. Temporizador hasta 30 minutos. Cesta y olla con antiadherente. Calienta, rostiza y fríe. Función de protección contra sobrecalentamiento. Resistencia de acero inoxidable 304.",CARACTERISTICAS,,
desvaste vidrio de la marca sm del area de servicios para los servicios tienda de la linea servicios dimensionado-tienda de procedencia nacional al precio de 8.9 soles,PRODUCTO,,
Colocar en superficies planas. Evitar la humedad. Mantener limpio.,RECOMENDACIONES,,
Decorativo y funcional. Fácil mantenimiento y larga duración. Producto con resistencia a la humedad y agentes químicos. Resistente al desgaste y a los cambios de temperatura. Fácil de limpiar y desinfección. No emite partículas de polvo y carencia de olor propio o adquirido.,CARACTERISTICAS,,
broca rocker para concreto 6.0 mm de la marca kwb del area de herramientas para los accesorios para herramientas electricas de la linea brocas de procedencia importado al precio de 14.9 soles,PRODUCTO,,
Moldura insulada. Protección de 500 V AC y 1000 V DC.,CARACTERISTICAS,,
No aplica,RECOMENDACIONES,,
Cómodo y resistente. Este asiento para inodoro de la marca Trébol está fabricado con materiales de alta calidad que aseguran un producto de larga vida útil. Disfruta de lo más nuevo que Promart.pe trae para ti.,DESCRIPCION,,
"volumen del producto 0, ean 7758300174831, tipo de producto insecticida, modelo halizan, color no aplica, garantía 1 año, procedencia nacional",FICHA,,
"Diseñados y garantizados para el transporte de fluidos a presión. Son fabricados utilizando las técnicas más modernas del proceso de extrusión e inyección. Fácil instalación y ajuste confiable. No se oxidan, corroen ni necesitan pintarse.",DESCRIPCION,,
Producto se vende por unidad. Uso doméstico.,OBSERVACIONES,,
"acabado niquelado, tamaño del producto moderado, altura del producto 7.50 cm, ancho del producto 7.50 cm, profundidad del producto 0.20 cm, volumen del producto 11.25, ean 7704359109232, medidas 7.50x0.20x7.50, tipo de producto bisagra, modelo 3x3"", color plata, material acero, garantía 06 meses por defectos de fabricación, procedencia nacional, país de origen china",FICHA,,
"pEleva el confort de tus espacios exteriores con la bEstufa a gas Alfano Terraza de Vidrio HMDX-Eglass/b, una solución elegante y eficiente para mantenerte cálido durante las noches frías o las reuniones al aire libre. Con una altura impresionante de 212 cm, esta estufa no solo sirve como fuente de calor, sino también como un atractivo centro de atención. Fabricada en ABS de color gris, combina durabilidad con un diseño moderno que complementa cualquier decoración de terraza o jardín. Funcionando con gas licuado, ofrece una alternativa económica y eficiente al calentamiento eléctrico, perfecta para el uso familiar. Sin necesidad de temporizador, termostato, o control remoto, su manejo es sencillo y directo, permitiéndote disfrutar de su calor sin complicaciones. Características de la Estufa a gas Alfano Terraza de Vidrio HMDX-EglassulliAltura y diseño imponente: Con 212 cm de alto, se convierte en un elegante punto focal.liMaterial resistente: Construida en ABS para asegurar durabilidad y resistencia a la intemperie.liFuncionamiento a gas: Usa gas licuado, ofreciendo una calefacción eficiente y económica.liIdeal para exteriores: Diseñada específicamente para calentar tus espacios al aire libre.liFácil de usar: Sin complicaciones de temporizadores o controles remotos, facilitando su operación.liCalor eficiente, ideal para reuniones al aire libre.liDiseño moderno, complementa cualquier espacio exterior.liOperación a gas licuado, práctica y económica./ulp¡Te recomendamos conocer el catálogo de a href=""https://www.promart.pe/electrohogar/climatizacion/estufas-y-calefactores/estufa""estufas/a que tenemos para ti con grandes descuentos!",DESCRIPCION,,
"Lavar y limpiar con agua jabonosa, enjuagar con agua limpia y secar con paño suave.",RECOMENDACIONES,,
lámpara colgante carlton oro e27 de la marca eglo del area de iluminacion para los iluminacion decorativa de la linea colgantes trendy de procedencia nacional al precio de 49.0 soles,PRODUCTO,,
"De alta densidad en tejido Raschel (no se deshilacha) y contiene aditivos que le brindan resistencia a la radiación solar. Es liviana, flexible y fácil de instalar para proporcionar sombra uniforme. Densidad del 50%. Reduce la radiación solar al controlar el paso del aire (rompe vientos). Mejora además el microclima de plantas, animales y personas.",CARACTERISTICAS,,
Instalar correctamente los accesorios a la pared o tumbado para fijar la cortina.,OBSERVACIONES,,
"volumen del producto 0, ean 3165140535045, color no aplica, garantía 1 año, procedencia nacional",FICHA,,
"Medir correctamente el vano a usar para evitar una mala instalación y escoger la medida de puerta adecuada. Ser instaladas para exteriores, a partir de segundo piso en adelante. Dar mantenimiento anualmente.",RECOMENDACIONES,,
"Elaborado con una especial formulación para espumas y cobertura en tela tejido de punto que brinda una sensación de suavidad al tacto, así como un excelente soporte y comodidad. Mejor ergonomía. Pillow Top de espuma. Para un descanso reconfortante. Marco de espuma Zebra. Mayor estabilidad.",CARACTERISTICAS,,
Excelente estructura. Resistencia y durabilidad a su alcance. De fácil armado.,CARACTERISTICAS,,
"|Producto manufacturado en aluminio con acabado anodizado que le brinda mayor resistencia y durabilidad. |Excelente distribución de calor de manera uniforme para una cocción rápida, saludable y ahorro de energía.| Tapa de aluminio anodizado en color rojo con perilla de bakelita y disco de acero inoxidable. |Asas de bakelita y paraflama de acero inoxidable con diseño ergonómico. |De fácil limpieza. |Ideal para uso en cocinas a gas, eléctrica y vitrocerámica.",CARACTERISTICAS,,
"set x5 utensilios acacia inc. base de la marca orange del area de cocina para los menaje de la linea utensilios, cuchillos,cubiertos y reposteria de procedencia importado al precio de 49.9 soles",PRODUCTO,,
"Ideal para iluminar grandes espacios, esculturas, señalizaciones, jardines, entre otros.",CARACTERISTICAS,,
puert ench cedro mara victoria 40x650x2070 it de la marca dimfer del area de ferreteria para los puertas de interior de la linea mdf o hdf de procedencia nacional al precio de 399.9 soles,PRODUCTO,,
Asiento acolchado especial para niños pequeños en su aprendizaje de usar el baño. Fabricado con materiales de primera calidad.,DESCRIPCION,,
"Pintura en aerosol invertida para demarcación. Su fórmula base agua produce marcas exactas y fáciles de leer, en colores brillantes y durables.",DESCRIPCION,,
No limpie la silla con detergentes abrasivos.,OBSERVACIONES,,
Tener en cuenta no exceder la capacidad máxima que me soporta y manener fuera del alcance de los niños.,RECOMENDACIONES,,
portero de 8ptos bdd-8l9m de la marca belcom del area de electricidad para los seguridad de la linea intercomunicadores de procedencia nacional al precio de 149.0 soles,PRODUCTO,,
"Equipado con resortes Pocket que se adaptan a la forma del cuerpo, proporcionando un soporte excepcional. Espuma Zebra D18 añade una capa adicional de suavidad. Su cubierta en tela tejido de punto asegura durabilidad. Equilibrio perfecto entre comodidad y apoyo.",CARACTERISTICAS,,
"Fabricado en pvc, cuenta con ranuras que brindan un mejor agarre, accesorio de complemento que permite colgar o sujetar objetos sobre superficies solidas (pared del primer nivel y pisos).",CARACTERISTICAS,,
"Accesorio en PPR cuenta con las normas TS 9937, TSEN ISO 15874, DIN 8077, DIN 8078. El accesorio en PPR tiene una vida útil mínima de 50 años cuando se utilizan bajo valores adecuados de trabajo y temperatura.",OBSERVACIONES,,
Ideal para todo tipo de trabajos.,OBSERVACIONES,,
"pDescubre la versatilidad y calidad de la Brocha Tumi 4'' de Nylon para Pintura Látex. Con cerdas sintéticas de alta calidad y mango de madera, esta brocha plana es ideal para aplicar pintura látex de forma precisa y uniforme. Su diseño permite una fácil limpieza y un acabado profesional en cada aplicación. h2Características de la Brocha Tumi 4'' de Nylon para Pintura Látex: ul  liCerdas 100% sintéticas para retener más pintura.  liMango de madera para un agarre cómodo.  liIdeal para aplicar pintura látex de forma profesional.  liFácil limpieza y mantenimiento.  liGarantía de por vida para tu tranquilidad.ul",DESCRIPCION,,
"altura del producto 190.00 cm, ancho del producto 135.00 cm, profundidad del producto 30.00 cm, volumen del producto 769500, ean 2000001123010, medidas 135.00x30.00x190.00, tipo de producto colchón + tarima, modelo cama space zaroh, color blanco, material madera, garantía 1 año, procedencia nacional, país de origen perú",FICHA,,
MATERIAL NO ESTA DISEÑADO PARA TRABAJAR EXPUESTO A LA INTERPERIE,OBSERVACIONES,,
"Para la limpieza, pasa un paño húmedo por toda la superficie. Utiliza los productos químicos más convenientes.",RECOMENDACIONES,,
Colocar una pequeña cantidad en la palma de la manos y frotar hasta lograr su absorción. No es necesario usarlo con agua.,RECOMENDACIONES,,
Leer manual de instrucciones antes de operar con la herramienta.,RECOMENDACIONES,,
"Cumple con normas  ISO-9001, ISO-14001 y NTP 399.019:2004.",OBSERVACIONES,,
"Para muebles en general de cocinas, baños y habitaciones.",RECOMENDACIONES,,
"altura del producto 6.00 cm, ancho del producto 0.70 cm, profundidad del producto 0.70 cm, volumen del producto 2.94, ean 4009311209504, medidas 0.70x0.70x6.00, tipo de producto puntas bits, modelo 120950, color negro, material acero, garantía por defecto de fabricación, procedencia importado, país de origen alemania",FICHA,,
"Adhesivo tixotrópico de dos componentes a base de resinas epoxicas y cargas inactivas (Parte A contiene Resina Epóxica, Polybisfenol-A-Epicloridrina y la parte B contiene CicloAminas y Amina alifáticas). Exento de solventes. Alta resistencia a la abrasión e impacto. Buena adherencia en superficies húmedas. Sin efecto nocivo sobre los materiales que constituyen las piezas unidas. No contiene componentes volátiles. Usado para unir elementos de hormigón, fibrocemento, acero, fierro, aluminio, mármol, piedra, madera, vidrio, cerámica, piezas de resina poliéster o epoxi, relleno rígido en juntas de poco espesor. Para anclaje de fierros, pernos, soportes, tirantes y maquinarias. En reparación de aristas y caras del hormigon a la vista.",CARACTERISTICAS,,
tabla de planchar 38x122cm de la marca orange del area de organizacion y decoracion para los organizadores de lavanderia de la linea tablas de planchar de procedencia importado al precio de 168.9 soles,PRODUCTO,,
"spray specialty alta temp blanco 340 gr de la marca rust oleum del area de pinturas para los esmaltes, barnices y solventes de la linea sprays de procedencia nacional al precio de 54.9 soles",PRODUCTO,,
tornillo madera cs ph laton 3x12 30u de la marca standers del area de ferreteria para los productos de fijacion de la linea tornillos p/ madera-percep de procedencia importado al precio de 6.2 soles,PRODUCTO,,
No aplica,OBSERVACIONES,,
Excelente estructura. Resistencia y durabilidad a su alcance.,CARACTERISTICAS,,
"Combina perfectamente elegancia y resistencia, ideal para cualquier rincón del hogar, cocina, comedor o donde gustes.",DESCRIPCION,,
Especialmente en unidades de transporte público. También es recomendable para el pintado de línea blanca y sector metal mecánico.,RECOMENDACIONES,,
destornillador ergo plano 6.5x150mm de la marca bahco del area de herramientas para los herramientas de mano de la linea alicates y herramientas de corte de procedencia nacional al precio de 34.0 soles,PRODUCTO,,
6 niveles. Excelente calidad. Resistencia y durabilidad.,CARACTERISTICAS,,
Domestico,RECOMENDACIONES,,
Excelente calidad. Resistencia y durabilidad.,CARACTERISTICAS,,
Cumple la IEC 60898.,OBSERVACIONES,,
"tiemme valvula esferic mistral pal/al/roja x1 1/2"" de la marca tiemme del area de gasfiteria para los accesorios de gasfiteria de la linea valvulas hidraulicas de procedencia nacional al precio de 139.0 soles",PRODUCTO,,
i&o-piso cascatta natural 30x60 1.44 de la marca aris del area de pisos y revestimientos para los decorados de la linea fachaletas de procedencia nacional al precio de 28.66 soles,PRODUCTO,,
Pernos muy utilizados para unir vigas estructurales. Tienen la particularidad de colocarse boca abajo en la base antes del proceso de secado del cemento.,DESCRIPCION,,
Utilizar el producto de forma adecuada para una mejor duración.,OBSERVACIONES,,
"altura del producto 1.50 cm, ancho del producto 90.00 cm, profundidad del producto 30.00 cm, volumen del producto 4050, diametro del producto 0, ean 7898518980548, medidas 90.00x30.00x1.50, tipo de producto repisa, modelo facility, color marrón, material melamina, garantía 1 año, procedencia importado",FICHA,,
"altura del producto 11.50 cm, ancho del producto 23.50 cm, profundidad del producto 33.50 cm, volumen del producto 9053.375, ean 2000001578698, medidas 23.50x33.50x11.50, tipo de producto calzado de seguridad, modelo 1352kotka42, color negro, material cuero/poliuretano/acero, garantía 06 meses por defectos de fabricación, procedencia importado, país de origen china",FICHA,,
cama americana ankara 1.5 plz de la marca el cisne del area de muebles para los dormitorios de la linea colchones de procedencia nacional al precio de 2599.0 soles,PRODUCTO,,
"Divisor (Splintter) de alto rendimiento, con paso de volteje en todos sus puntos. 4 salidas",OBSERVACIONES,,
